Specification vs. Statistical Parameter Table :
Variance Contribution
param name, Average(Mag), off_Nominal, on_Nominal
Algorithm, , Quadratic, Quadratic
I0.TP3:mvth0, 0.0356344, 0.0190073, 0.0522614
I0.TP4:mbeta, 0.0487107, -0.0124273, -0.084994
I0.TP4:mvth0, 0.0215006, -0.016362, -0.0266392
I0.TP5:mbeta, 0.02301, -0.0107363, 0.0352837
I0.TP5:mvth0, 0.0238585, -0.0156834, -0.0320336
I0.TP6:mbeta, 0.0346068, 0.0441137, -0.0250998
I0.TP6:mvth0, 0.261457, -0.401883, 0.121032
I0.TP7:mbeta, 0.00870419, -0.0101116, 0.00729682
I0.TP7:mvth0, 0.0514622, -0.00948903, -0.0934355
I0.TP8:mbeta, 0.0245815, -0.0121494, -0.0370137
I0.TP8:mvth0, 0.107056, 0.178458, 0.0356545

Output Normalized MultiVariate Regression Analysis
param name, Average(Mag), off_Nominal, on_Nominal
I0.C2:mmcap, 0.0045378, 0.00304136, 0.00603424
I0.C3:mmcap, 0.00381196, 0.00495249, -0.00267143
I0.C4:mmcap, 0.00283398, 0.000744921, -0.00492305
I0.TN0:mbeta, 0.0027597, 0.00529317, 0.00022623
I0.TN0:mvth0, 0.00506408, -0.00568741, 0.00444075
I0.TN13:mbeta, 0.00199503, 0.00270397, -0.00128608
I0.TN13:mvth0, 0.00468335, -0.00412067, -0.00524603
I0.TN14:mbeta, 0.0140446, -0.00524212, -0.0228471
I0.TN14:mvth0, 0.00795408, -0.0124053, 0.00350283
I0.TN15:mbeta, 0.00284457, -0.0018513, 0.00383783
I0.TN15:mvth0, 0.0147222, 0.0092621, 0.0201824
I0.TN16:mbeta, 0.00298722, -0.00476127, -0.00121317
I0.TN16:mvth0, 0.00507674, -0.00835831, 0.00179518
I0.TN3:mbeta, 0.00889338, -0.00767748, -0.0101093
I0.TN3:mvth0, 0.039387, 0.060791, -0.0179829
I0.TN4:mbeta, 0.00268907, 5.93805e-05, -0.00531876
I0.TN4:mvth0, 0.0164524, 0.00365549, 0.0292493
I0.TN5:mbeta, 0.00997127, -0.0033653, -0.0165772
I0.TN5:mvth0, 0.0353234, -0.0693681, -0.00127873
I0.TP10:mbeta, 0.00141362, -0.000432128, -0.00239511
I0.TP10:mvth0, 0.00473182, -0.000510199, -0.00895343
I0.TP1:mbeta, 0.0062088, 0.0106868, -0.00173075
I0.TP1:mvth0, 0.00319082, 0.00273914, -0.00364251
I0.TP2:mbeta, 0.00934212, 0.00235341, -0.0163308
I0.TP2:mvth0, 0.00689909, 0.00923248, 0.0045657
I0.TP3:mbeta, 0.00433223, -0.00792879, -0.000735672
I0.TP3:mvth0, 0.00920432, 0.00491403, 0.0134946
I0.TP4:mbeta, 0.0117165, -0.00299239, -0.0204405
I0.TP4:mvth0, 0.00543952, -0.00414266, -0.00673637
I0.TP5:mbeta, 0.00549279, -0.00256534, 0.00842024
I0.TP5:mvth0, 0.00579221, -0.00381068, -0.00777373
I0.TP6:mbeta, 0.00850992, 0.0108526, -0.00616725
I0.TP6:mvth0, 0.0629233, -0.0967464, 0.0291002
I0.TP7:mbeta, 0.00209881, -0.00243943, 0.00175819
I0.TP7:mvth0, 0.0141356, -0.00260937, -0.0256618
